what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819690648
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819706137
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1329819707817
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1329819742038
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819742063
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1329819744050
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819745767
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819747039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819747825
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819751220
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819755944
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819761519
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329819762856
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329819762908
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819763174
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819765842
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329819766161
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329819769181
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1329819773866
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1329819779044
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329819779837
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329819780493
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1329819786343
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329819787214
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1329819788046
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329819792683
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1329819805931
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819806434
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819816787
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329819816842
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819820508
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819821137
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329819823730
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1329819835828
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1329819841580
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819844256
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1329819864834
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819864871
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1329819866545
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819868715
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819869789
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1329819873691
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329819878588
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329819878615
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329819878616
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1329819878634
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1329819880352
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329819884185
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819895619
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329819997744
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1329820002813
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329820007633
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329820008762
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329820008961
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329820150981
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329820154946
