what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825501010
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825502895
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825503571
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329825522651
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825531233
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825533846
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329825537039
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329825537672
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825538748
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825540021
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825547054
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825550906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825552477
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825553353
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1329825564894
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329825567927
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329825569111
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1329825570645
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329825571301
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1329825573558
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825575619
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825576277
activated,view,com.altera.sbtgui.launch,11.1.0.173,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1329825584522
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825586720
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825588762
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1329825588772
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329825594502
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329825600728
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1329825602585
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825602995
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825607806
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825607991
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329825611600
activated,view,com.altera.sbtgui.launch,11.1.0.173,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1329825613899
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1329825614226
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [5-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1329825615111
activated,view,com.altera.sbtgui.launch,11.1.0.173,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1329825618001
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329825648781
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1329825681874
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1329825683866
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329825684789
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1329825693277
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1329825693467
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1329825693673
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1329825693855
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1329825694019
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1329825694169
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1329825694329
