what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1330252106739
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330252106739
java.specification.version,sysinfo,,,"1.6",1330252106739
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1330252106739
java.version,sysinfo,,,"1.6.0_23",1330252106739
java.vm.info,sysinfo,,,"mixed mode",1330252106739
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1330252106739
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330252106739
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330252106739
java.vm.specification.version,sysinfo,,,"1.0",1330252106739
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1330252106739
java.vm.version,sysinfo,,,"19.0-b09",1330252106739
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1330252106768
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1330252106927
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1330252106948
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1330252107079
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1330252107124
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1330252107157
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1330252107292
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1330252107323
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1330252107404
started,bundle,com.altera.sbtgui.integration,11.1.0.173,"com.altera.sbtgui.integration",1330252107453
started,bundle,com.altera.systemconsole,11.1.0.173,"com.altera.systemconsole",1330252107472
started,bundle,com.altera.utilities,11.1.0.173,"com.altera.utilities",1330252107572
started,bundle,com.altera.sbtgui.launch,11.1.0.173,"com.altera.sbtgui.launch",1330252108268
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1330252162838
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1330252162840
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1330252162846
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1330252162848
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1330252162848
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1330252162848
